n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
500,273,293,0.5659038173264882,482.8066305624743,56.21577462239509,+,-0.07976541625358639,0.3995173471179232,-0.3247028089182907,1.626323924749039,double
500,274,293,0.5668988466038914,482.8114119014998,58.20536022626362,+,-0.2535995205305079,0.2201601120337242,-1.032888672005083,0.8966928851888247,double
500,274,294,0.5679009426426491,482.8162856737341,57.59706020707381,+,-0.02835859586967189,0.4509729766373617,-0.115565663007285,1.837784609752209,double
500,275,293,0.5678939520048124,482.8162856029976,60.16815767802819,+,-0.4327486656808221,0.03332469008512345,-1.763510902571408,0.1358027394433927,double
500,275,294,0.5688958642421494,482.8212124953631,59.64136740506365,+,-0.201293219612097,0.2725360773533734,-0.820756215947914,1.111242991636267,double
500,276,294,0.5698908672788433,482.8262318658577,61.65653795810664,+,-0.3796072633022604,0.08655526910775135,-1.548688780008802,0.3531206778071647,double
500,276,295,0.5708928852462941,482.8313059787533,61.0757539093911,+,-0.1490173511487006,0.3248835279584168,-0.6082981467665038,1.326194878976627,double
500,277,295,0.5718877856213593,482.8364712230746,63.14343769414501,+,-0.3265016574221958,0.1397525565465675,-1.333573480382974,0.5708096696894585,double
500,277,296,0.5728899097270704,482.8416928563124,62.50846641560082,+,-0.09678353612453301,0.3771908305058689,-0.3955400653605002,1.541523400836504,double
500,278,296,0.5738847071322281,482.8470041865941,64.62880869995496,+,-0.273445032128268,0.1929033606698857,-1.118196851081398,0.7888383591584235,double
500,278,297,0.5748869377964113,482.8523736506213,63.93945102795772,+,-0.04448321293154807,0.4295665337513186,-0.1820158706535226,1.757695127927914,double
500,278,349,0.6276661702154309,483.2447245016976,-250.620107527594,-,-0.007263583907150555,0.004540203427204912,-0.03108062464668828,0.01942737364149495,double
500,279,296,0.5748796047803326,482.8523740172623,66.71108870915401,+,-0.4365502314505585,0.0199657705828834,-1.78626291034326,0.08169533056968792,double
500,279,297,0.5758816319123675,482.8578312887429,66.11260228266269,+,-0.2203051121976647,0.246139948724244,-0.9019952837644616,1.007770862330665,double
500,280,297,0.5768764316282785,482.8633476403149,68.24530772734028,+,-0.3826231542416323,0.07400895254915607,-1.567549395256737,0.3032035242141943,double
500,280,298,0.5778785600638719,482.8689530744076,67.59476918176625,+,-0.1673361840460005,0.2992080259747049,-0.6859869725368472,1.226589509419495,double
500,281,298,0.5788732615271946,482.8746161783333,69.77805160136268,+,-0.3288991644421524,0.1278520670282008,-1.34916934115582,0.5244588849303268,double
500,281,299,0.5798754916899744,482.8803700998191,69.07525958734703,+,-0.1144588760183898,0.3521869554015519,-0.4698256311597782,1.445641127746088,double
500,282,299,0.5808700945696467,482.8861801984571,71.30927557584312,+,-0.2750225766981909,0.1818507958034528,-1.129641605558617,0.7469431324867515,double
500,282,300,0.58187242689514,482.8920829557654,70.55402309497987,+,-0.06139381010137688,0.4053561059779943,-0.2523411052891513,1.666096429742506,double
500,283,299,0.5818648220356401,482.89208383052,73.4937237324047,+,-0.4394423218667822,0.005422906906749625,-1.806188498423026,0.02228914147681769,double
500,283,300,0.582866930849292,482.8980402997812,72.8389343673299,+,-0.2214320636838774,0.2355664624281724,-0.9107443182056058,0.9688787325874214,double
